Title: B. impatiens workers (2023) 
BT10 
B96 
BTMS0059 
BTMS0081 
BL13 
BTMS0062 
B126 
BTERN01 
B124 
BTMS0057 
BT30 
B10 
BTMS0083 
BTMS0073 
BT28 
Pop 
E_ED17_12_01, 177183 246278 339355 312312 170172 268272 172178 141143 271275 120124 191191 206206 292298 130130 183183 
E_ED17_13_01, 157157 254254 355355 312312 172172 278278 170170 137137 267267 118118 191191 206206 286286 130130 183183 
E_ED17_31_01, 153157 242252 355359 308312 172176 296000 168168 135135 259263 120122 191191 200238 284294 130130 183183 
E_ED18_12_01, 000000 254254 355355 308312 176176 276298 170176 137000 267275 130130 188191 206214 286288 130130 183183 
E_ED19_10_01, 157167 238242 355359 308308 170172 286288 170180 135143 265267 120120 191191 204214 284290 130130 183183 
E_ED19_10_02, 157159 242264 339355 308312 172172 278288 172178 135139 269275 118122 191191 200210 282288 130130 183183 
E_ED19_10_03, 159159 246254 355359 308312 172174 272278 170174 135143 261265 118124 188191 200206 278294 130130 183183 
E_ED19_10_04, 151157 240242 355355 308312 172172 272278 176176 137143 267271 118120 191200 206210 300308 130133 183183 
E_ED19_12_02, 143153 242242 339339 308312 172174 278328 168178 137141 265269 112118 191191 198198 284000 130130 183183 
E_ED19_13_01, 165173 240242 339355 308312 172174 292000 168172 135141 265267 112124 185188 198206 284290 130130 183183 
E_ED19_27B_01, 169187 240242 339355 308308 172172 276278 170176 135143 267285 120124 185188 200208 280290 130133 183183 
E_ED20_10_02, 161175 242242 355359 312312 172172 278000 168178 135143 263267 116124 191191 198210 292304 130130 183183 
E_ED20_10_03, 165171 240240 339359 312312 170172 258278 172176 135137 259263 120124 191200 210214 290304 130133 183183 
E_ED20_11_01, 153165 240278 355359 308312 170172 266278 170170 135141 265271 120124 191191 198210 290298 130130 183183 
E_ED20_11_02, 151173 244248 355355 308312 170172 272272 168170 135141 259267 120124 191200 198206 290294 130130 189189 
E_ED20_32_01, 159161 240248 355359 308312 172172 272278 170172 135135 263269 118120 188191 206208 284318 130130 183183 
E_ED20_33_02, 000000 238242 339359 308308 174174 278298 164170 133135 271275 118124 191191 204206 282282 130130 183183 
E_ED20_33_03, 159165 240240 355355 312312 174176 278286 168176 135141 269271 118130 191191 204206 282286 130130 183183 
E_ED21_09_02, 167167 240246 339359 312312 172172 278288 168172 135137 267271 124126 191191 206206 282318 130130 183183 
E_ED21_11_01, 165175 238242 339363 308312 172176 266278 166170 137141 259263 120120 191200 206206 298306 130130 183183 
E_ED21_25A_01, 165177 238252 355359 308308 172174 292000 170174 135143 257259 112124 188191 206206 290294 130130 183183 
E_ED22_02_01, 153161 240246 339355 312312 172172 272298 170182 143143 265265 120124 185188 198206 284290 130130 183183 
E_ED22_04_01, 157173 246262 355355 312312 172176 272304 168170 137143 275275 116130 191191 196206 282308 130130 183183 
E_ED22_05_02, 151171 244248 355355 312312 172172 276298 172176 137141 267269 120124 191200 190198 290294 130130 183189 
E_ED22_12_01, 163177 240260 339355 312312 172172 272292 168170 135135 267273 112120 188191 198214 290318 130130 183183 
E_ED22_13_01, 157161 246254 359359 308312 172176 268000 168170 135143 267267 120124 188191 206214 286292 130130 183183 
E_ED22_13_02, 000000 238242 359359 312312 172172 266286 168176 133135 263269 112112 191191 206206 298318 130130 189189 
E_ED22_17_01, 159165 242246 339359 312312 172172 292000 164170 135137 267269 120124 191191 198198 282288 130130 183183 
E_ED22_25A_02, 143155 244246 339359 312312 172172 278292 172174 135135 267273 120124 188191 198206 290294 130130 183189 
E_ED22_27B_02, 165177 240246 355363 312312 172172 286306 174178 135143 267267 112116 191191 198206 280290 130133 183183 
E_ED22_28A_01, 151173 244254 355359 308312 170172 272000 178184 135137 267271 120124 191191 204214 290308 130130 183183 
E_ED22_32_01, 173173 238242 355359 312312 172176 276000 174178 135141 265269 124130 191191 190210 288294 130130 183183 
E_ED22_35_02, 173181 242242 355359 304312 172174 272278 164168 135141 267267 118124 191191 188188 288290 130130 189189 
E_ED23_01A_01, 159171 238240 339355 308312 172172 248276 170178 137141 267267 120126 188191 206206 290290 130130 183189 
E_ED23_01A_02, 161169 240240 339355 308312 172174 252258 172176 135135 267269 112118 188191 206206 292300 130130 183183 
E_ED23_06_01, 165171 240246 355355 312312 172172 276000 168170 137137 267267 118124 191191 206216 282292 130130 183183 
E_ED23_19B_02, 159167 242254 355355 308312 170172 272288 168168 135135 261267 116120 191191 200206 294294 130130 183183 
E_ED23_19B_03, 157173 240246 355355 308308 174176 258000 174178 141143 265269 118130 191200 206210 290318 130130 183183 
E_ED23_31_01, 155169 242252 355359 312312 172176 248258 170170 133137 259267 126130 191191 198206 284318 130130 183183 
E_ED24_01A_01, 157181 238246 339355 308312 172176 248274 170178 143143 259265 124130 191200 198198 294308 130130 183183 
E_ED24_01A_02, 167187 242254 355355 308312 172176 272294 164170 137137 259269 124130 191191 214000 000000 130130 183183 
E_ED24_01A_03, 165171 240242 355355 312312 170172 268268 166170 135137 269271 116120 188191 206206 284284 130130 183183 
E_ED24_01A_04, 163173 240242 355355 308308 172176 278292 164174 135135 259259 124130 191191 200200 282282 130130 183183 
E_ED24_01A_07, 155161 242252 339355 308308 172172 248294 168172 135137 265271 118120 191191 206206 282300 130133 183183 
E_ED24_01A_08, 157157 240252 339355 308308 172172 298300 172174 135143 259267 124124 188191 210214 294318 130130 183183 
E_ED24_01A_09, 157165 238240 339355 312312 172172 272000 170170 135141 267267 116116 185191 206214 280290 130130 183183 
E_ED24_01A_10, 159175 240246 355355 312312 172172 276000 166172 137141 265267 112116 191191 200214 282300 130130 183183 
E_ED24_01A_13, 153157 242254 355359 312312 172174 278000 168178 135135 259267 124124 191191 200206 284292 130130 183183 
E_ED24_04_02, 155157 240242 359359 312312 172172 278292 170176 137139 261265 116124 191191 198206 292294 130130 183183 
E_ED24_06_01, 167169 240254 339339 308308 172172 248296 168170 135141 259259 120122 191200 200238 306306 130130 183183 
E_ED24_11_01, 157175 242254 355359 312312 172174 276296 178182 135139 269275 118124 188191 198208 282294 130130 183183 
E_ED24_11_02, 157161 240240 339355 308312 172176 288294 168170 135135 257269 120130 191191 206214 282308 130130 183183 
E_ED24_13_02, 167169 238240 339355 308312 172174 248278 172176 137137 263275 120126 191191 206206 282318 127130 183183 
E_ED24_13_03, 157171 242250 339355 308308 172172 296298 170170 137147 265275 116116 188191 198198 290306 130130 183183 
E_ED24_13_04, 157159 240254 355359 308308 174176 272286 170172 133135 265271 120122 185188 206206 280284 130133 183183 
