Title: B. mixtus workers (2022) 
BT10 
BTMS0104 
BTMS0057 
BTMS0086 
BTMS0066 
BTMS0062 
BTMS0136 
BTERN01 
BTMS0126 
BTMS0059 
BL13 
BTMS0083 
B126 
Pop 
E_ED10_20A_01, 134140 266266 126130 274277 137146 243243 174186 111113 167179 350350 170174 276276 145147 
E_ED10_21A_08, 142144 266266 124130 274274 137140 251259 172176 109113 167169 350350 166176 276278 145147 
E_ED10_29_06, 134144 266266 122124 274274 146182 241255 182184 111000 169171 350350 168172 280296 147149 
E_ED1_20_01, 128132 266266 124128 274277 146149 241241 166178 111111 171171 350354 170170 268270 147147 
E_ED1_32_01, 134134 266268 124128 274277 134146 237257 168168 111111 169177 350350 170176 276300 145147 
E_ED2_16_01, 134144 266266 122126 274274 140146 247253 182186 107113 173179 350350 170176 270282 145147 
E_ED2_28_03, 132144 266268 116126 277277 140146 241255 162176 113113 179181 350350 168180 276282 147147 
E_ED3_01_03, 136140 266268 126126 277277 140143 247261 176178 111113 175179 350354 172172 278282 147147 
E_ED3_06_01, 132132 266266 126128 274274 140146 243243 176188 107109 167169 350350 168172 278290 145147 
E_ED3_20A_04, 134144 266268 124126 277277 137146 239255 162166 111113 169173 350350 172174 270278 147147 
E_ED3_21A_01, 134140 266266 124128 274274 140146 243251 186186 111115 171173 350350 172190 280000 147147 
E_ED3_25B_02, 134140 266268 124128 274274 146146 229257 172174 109111 167177 350350 170176 280296 145147 
E_ED3_27_01, 134134 266266 130130 274274 140140 243251 176180 111111 167189 350354 168174 280280 109145 
E_ED3_27_02, 138160 266266 124128 274277 140146 235243 168180 111115 167169 350350 172178 278280 145147 
E_ED3_27_05, 132150 266268 124126 277277 134134 241243 174176 111111 167167 350350 170176 278286 147147 
E_ED3_28_01, 128134 266268 122124 274277 143149 235241 170182 109109 167169 350350 164178 276278 145147 
E_ED3_31_02, 138140 266266 124130 274277 140140 235241 176178 109111 189189 350350 172172 276294 145145 
