mixtus_set3_sub0.025 ! C, Dataset name, Length<51
mixtus_set3_sub0.025 ! C, Main output file name, Length<21
50 ! I, Number of offspring in the sample
10 ! I, Number of loci
123 ! I, Seed for random number generator
0 ! B, 0/1=Not updating/updating allele frequency
2 ! 2/1=Dioecious/Monoecious
0 ! 0/1=No inbreeding/inbreeding
1 ! B, 0/1=Diploid species/HaploDiploid species
1 1 ! B, 0/1=Polygamy/Monogamy for males & females
0 ! 0/1=No clone inference/clone inference
0 ! 0/1=No scaling/sibship size scaling
1 1 1 ! B, R, R : Use sibship prior, Y/N=1/0. If Yes, give mean paternal, maternal sibship size
0 ! B, 0/1=Unknown/Known population allele frequency

1 ! I, Number of runs
3 ! I, Length of Run (1, 2, 3) = (Short, Medium, Long)
1 ! B, 0/1=Monitor method by Iterate#/Time in second
60 ! I, Monitor interval in Iterate#/Seconds
0 ! B, 0/1=Other platform/Windows execution
1 ! 1/0=Full-likelihood/pairwise-likelihood score method
3 ! 1/2/3=low/medium/high precision


BT10 BTMS0057 BTMS0086 BTMS0066 BTMS0062 BTMS0136 BTMS0126 BL13 BTMS0083 B126 !Marker IDs
0 0 0 0 0 0 0 0 0 0 !Marker types, 0/1=Codominant/Dominant
0 0 0 0 0 0 0 0 0 0 !Marker-specific allelic dropout rate
0.01 0.01 0.015 0.01 0.015 0.01 0.0162 0.0159 0.01 0.01 !Other marker-specific typing-error rate


Ind1032 138 144 266 266 128 124 274 274 152 134 257 247 184 172 167 108 171 171 274 170 !Offspring ID and genotypes
Ind1185 140 144 266 266 126 128 274 277 158 146 255 239 170 184 167 108 168 174 276 174 
Ind755 136 132 266 266 126 126 274 274 146 146 255 239 168 180 169 110 170 167 268 280 
Ind841 138 140 266 266 130 126 274 274 134 134 267 235 180 182 171 167 177 175 176 176 
Ind457 134 146 266 266 126 124 274 277 152 155 241 235 170 182 167 112 169 170 276 170 
Ind1138 136 140 266 266 130 128 274 274 137 146 247 241 174 184 169 114 172 172 280 276 
Ind425 128 132 266 266 130 126 277 274 146 146 241 253 172 188 167 175 170 167 276 174 
Ind1335 132 132 266 266 130 126 274 274 146 0 257 259 172 172 169 167 169 168 190 270 
Ind1247 148 138 266 266 122 126 274 277 137 146 245 251 178 170 112 112 169 174 176 276 
Ind603 132 140 266 266 128 126 274 277 146 155 241 251 180 172 167 112 169 172 174 268 
Ind1561 134 136 266 266 124 124 277 274 149 146 243 247 184 176 112 167 169 168 170 172 
Ind1442 140 134 266 266 130 132 274 277 146 143 247 255 178 178 114 112 170 173 268 178 
Ind1361 140 138 266 268 128 128 274 274 146 134 251 239 178 178 167 112 168 167 276 278 
Ind1599 152 134 266 266 124 116 277 274 143 119 247 241 176 176 165 114 169 170 276 176 
Ind1664 144 134 266 266 126 130 277 274 182 146 241 241 188 162 112 110 172 175 268 176 
Ind963 138 134 266 266 128 124 277 274 176 146 241 259 186 174 165 114 170 191 270 278 
Ind162 138 142 266 268 130 122 274 274 140 134 261 243 178 182 112 112 173 168 268 276 
