"","individual","truecolony","BT10_1","BT10_2","B96_1","B96_2","BTMS0059_1","BTMS0059_2","BTMS0081_1","BTMS0081_2","BTMS0062_1","BTMS0062_2","B126_1","B126_2","BTERN01_1","BTERN01_2","B124_1","B124_2","BTMS0057_1","BTMS0057_2","BT30_1","BT30_2","B10_1","B10_2","BTMS0083_1","BTMS0083_2"
"1865","Ind1865",18669,157,153,248,242,359,355,308,312,296,326,170,170,147,137,259,299,120,120,191,188,206,238,278,306
"1890","Ind1890",18996,171,157,240,240,339,355,308,312,272,248,168,172,133,135,267,263,112,124,188,188,210,198,294,286
"1696","Ind1696",17128,157,171,246,242,355,355,308,312,278,248,176,168,141,135,263,263,126,124,191,188,200,208,284,300
"1835","Ind1835",18375,163,175,242,242,359,355,312,312,278,278,168,174,135,133,259,267,124,126,191,191,204,204,284,282
"1864","Ind1864",18664,153,143,246,242,355,355,308,308,288,258,170,176,135,135,265,265,124,124,191,191,198,238,282,300
"92","Ind92",1041,161,143,254,242,339,359,312,308,248,252,168,178,137,143,259,269,120,112,191,188,206,206,282,294
"1041","Ind1041",10111,153,155,246,242,355,339,308,312,278,272,178,174,135,133,263,267,124,120,191,191,198,198,278,294
"792","Ind792",7609,157,157,240,240,355,339,312,308,248,296,168,176,143,143,269,267,124,112,191,188,206,206,294,284
"1868","Ind1868",18704,167,159,242,242,355,355,308,308,278,294,170,168,137,135,259,269,112,124,191,191,206,206,284,318
"1305","Ind1305",12932,157,173,242,242,359,0,308,308,278,288,178,176,135,133,267,265,130,124,188,191,210,198,294,292
"469","Ind469",4745,171,165,242,244,359,355,312,312,286,278,174,168,135,133,257,273,118,124,191,191,198,206,300,292
"1371","Ind1371",13745,157,159,244,242,355,355,312,308,278,268,170,168,135,135,263,261,124,128,188,185,238,198,282,292
"1232","Ind1232",12107,153,157,240,240,359,355,308,312,278,272,170,178,143,139,275,267,120,116,191,191,206,204,306,292
"1442","Ind1442",14442,169,157,242,246,339,355,312,312,306,288,170,178,139,137,269,267,124,120,191,191,204,202,306,0
"343","Ind343",3517,157,157,278,240,339,355,312,308,258,286,174,170,133,141,265,267,124,120,191,191,206,210,290,288
"119","Ind119",1247,143,157,240,242,355,355,308,312,252,278,170,176,137,135,261,265,130,124,191,188,204,212,290,286
"1399","Ind1399",14039,157,167,242,240,359,359,304,308,298,272,164,170,137,135,265,263,116,116,188,191,210,238,292,282
"1519","Ind1519",15234,159,159,248,240,359,355,308,308,298,278,170,164,135,137,263,271,120,120,191,191,210,190,300,286
"276","Ind276",2782,159,159,278,238,355,359,312,312,278,292,170,170,133,141,269,265,126,124,191,188,214,238,318,284
"1440","Ind1440",14410,157,181,246,238,339,355,312,308,252,276,170,172,141,135,267,265,124,112,191,191,206,206,284,278
"109","Ind109",1203,157,153,242,240,355,355,312,312,276,268,170,170,135,135,267,265,118,112,191,191,204,208,294,282
"827","Ind827",7844,157,143,240,242,355,355,308,312,298,278,170,176,135,135,265,265,124,118,191,191,198,206,300,290
"1164","Ind1164",11508,171,157,252,242,355,339,308,308,278,278,168,174,135,143,267,269,120,114,188,191,238,214,294,286
"1975","Ind1975",19679,167,0,242,240,355,355,312,312,288,278,170,170,141,137,0,0,118,126,191,185,204,204,278,282
